Voltage (V),Current (A)
2.5025,4.98655e-07
2.5125,4.94961e-07
2.5225,5.05307e-07
2.53249,5.14895e-07
2.54249,5.11383e-07
2.5526,5.21041e-07
2.5626,5.31556e-07
2.5726,5.28119e-07
2.5826,5.37187e-07
2.5926,5.48424e-07
2.60259,5.45128e-07
2.6126,5.53666e-07
2.6226,5.65516e-07
2.6326,5.62645e-07
2.6426,5.70537e-07
2.6527,5.83088e-07
2.6627,5.80731e-07
2.6727,5.87693e-07
2.6827,6.00897e-07
2.6927,5.9905e-07
2.7027,6.05437e-07
2.7127,6.19288e-07
2.72269,6.19172e-07
2.7327,6.22466e-07
2.7427,6.37794e-07
2.75279,6.38838e-07
2.7628,6.41145e-07
2.7728,6.56663e-07
2.78279,6.589e-07
2.7928,6.6023e-07
2.8028,6.75857e-07
2.81279,6.78952e-07
2.8228,6.79836e-07
2.8328,6.95394e-07
2.8428,6.99749e-07
2.8529,7.00112e-07
2.8629,7.15525e-07
2.87289,7.20705e-07
2.8829,7.20701e-07
2.8929,7.35816e-07
2.9029,7.42045e-07
2.9129,7.41729e-07
2.9229,7.56441e-07
2.9329,7.63833e-07
2.9429,7.63035e-07
2.953,7.77517e-07
2.963,7.85994e-07
2.973,7.84845e-07
2.983,7.99061e-07
2.993,8.08323e-07
3.003,8.07018e-07
3.013,8.20526e-07
3.023,8.31272e-07
3.033,8.29896e-07
3.043,8.42594e-07
3.0531,8.54476e-07
3.06309,8.53322e-07
3.0731,8.65116e-07
3.0831,8.78049e-07
3.0931,8.76923e-07
3.1031,8.883e-07
3.1131,9.01978e-07
3.12309,9.01064e-07
3.1331,9.11796e-07
3.1431,9.26153e-07
3.1532,9.25803e-07
3.1632,9.33175e-07
3.1732,9.50667e-07
3.1832,9.54129e-07
3.1932,9.58087e-07
3.2032,9.75623e-07
3.21319,9.80364e-07
3.2232,9.83356e-07
3.2332,1.001e-06
3.2432,1.007326e-06
3.2533,1.009481e-06
3.2633,1.026601e-06
3.2733,1.02918e-06
3.2833,1.04549e-06
3.2933,1.05004e-06
3.3033,1.0537e-06
3.3133,1.06895e-06
3.3233,1.08149e-06
3.3333,1.08289e-06
3.3433,1.09045e-06
3.3534,1.10814e-06
3.3634,1.11702e-06
3.3734,1.11852e-06
3.3834,1.13027e-06
3.3934,1.14675e-06
3.4034,1.15162e-06
3.4134,1.15611e-06
3.4234,1.17196e-06
3.4334,1.1851e-06
3.4434,1.18717e-06
3.4535,1.19543e-06
3.4635,1.21364e-06
3.4735,1.22312e-06
3.4835,1.22528e-06
3.4935,1.23771e-06
3.5035,1.25479e-06
3.5135,1.2604e-06
3.5235,1.26545e-06
3.5335,1.28177e-06
3.5435,1.29568e-06
3.5536,1.2985e-06
3.5636,1.30727e-06
3.5736,1.32616e-06
3.5836,1.33386e-06
3.5936,1.33863e-06
3.6036,1.35457e-06
3.6136,1.36967e-06
3.6236,1.37798e-06
3.6336,1.38168e-06
3.6436,1.39667e-06
3.6537,1.41332e-06
3.6637,1.41865e-06
3.6737,1.42586e-06
3.6837,1.44454e-06
3.6937,1.45773e-06
3.7037,1.46075e-06
3.7137,1.47215e-06
3.7237,1.49172e-06
3.7337,1.50119e-06
3.7437,1.50554e-06
3.7538,1.5214e-06
3.7638,1.53852e-06
3.7738,1.54441e-06
3.7838,1.55242e-06
3.7938,1.57197e-06
3.8038,1.58561e-06
3.8138,1.58935e-06
3.8238,1.60167e-06
3.8338,1.62193e-06
3.8438,1.63171e-06
3.8539,1.63719e-06
3.8639,1.65384e-06
3.8739,1.67142e-06
3.8839,1.67778e-06
3.8939,1.68677e-06
3.9039,1.70729e-06
3.9139,1.72134e-06
3.9239,1.72582e-06
3.9339,1.73916e-06
3.9439,1.76e-06
3.954,1.77035e-06
3.964,1.77669e-06
3.974,1.79456e-06
3.984,1.81255e-06
3.994,1.81903e-06
4.004,1.83762e-06
4.014,1.85146e-06
4.024,1.85675e-06
4.034,1.8716e-06
4.044,1.89275e-06
4.0541,1.90367e-06
4.0641,1.91071e-06
4.0741,1.92933e-06
4.0841,1.94795e-06
4.0941,1.9554e-06
4.1041,1.96626e-06
4.1141,1.98841e-06
4.1241,2.00372e-06
4.1341,2.00965e-06
4.1441,2.02469e-06
4.1542,2.04709e-06
4.1642,2.05855e-06
4.1742,2.06659e-06
4.1842,2.08605e-06
4.1942,2.10546e-06
4.20419,2.11335e-06
4.2142,2.12532e-06
4.2242,2.14833e-06
4.2342,2.16413e-06
4.2442,2.17094e-06
4.2543,2.18733e-06
4.2643,2.21032e-06
4.2743,2.2222e-06
4.2843,2.23141e-06
4.2943,2.25214e-06
4.3043,2.2719e-06
4.3143,2.28095e-06
4.3243,2.29339e-06
4.3343,2.3171e-06
4.3443,2.33426e-06
4.3544,2.34205e-06
4.3644,2.35853e-06
4.3744,2.3826e-06
4.3844,2.39593e-06
4.3944,2.40553e-06
4.4044,2.42658e-06
4.4144,2.44776e-06
4.4244,2.45457e-06
4.4344,2.47715e-06
4.4444,2.49733e-06
4.4545,2.50654e-06
4.4645,2.52147e-06
4.4745,2.54654e-06
4.4845,2.56369e-06
